HomeTeam,GoalsHome,GoalsVisit,VisitTeam,Winner
AGF,2,2,AaB,Draw
FCN,0,4,BIF,BIF
SIF,1,1,OB,Draw
FCK,0,0,LBK,Draw
FCM,0,1,ACH,ACH
VFF,3,0,RFC,VFF
