HomeTeam,GoalsHome,GoalsVisit,VisitTeam,Winner
AGF,0,0,AaB,Draw
AaB,1,1,OB,Draw
AaB,2,1,FCN,AaB
OB,2,0,AGF,OB
OB,1,2,FCM,FCM
