HomeTeam,GoalsHome,GoalsVisit,VisitTeam,Winner
OB,0,3,LBK,LBK
AGF,0,5,VFF,VFF
FCM,1,3,ACH,ACH
RFC,5,0,SIF,RFC
FCK,1,0,AaB,FCK
BIF,4,0,FCN,BIF
