HomeTeam,GoalsHome,GoalsVisit,VisitTeam,Winner
FCN,0,3,RFC,RFC
LBK,2,0,FCM,LBK
AGF,2,0,SIF,AGF
BIF,1,0,ACH,BIF
OB,0,1,FCK,FCK
VFF,5,0,AaB,VFF
