HomeTeam,GoalsHome,GoalsVisit,VisitTeam,Winner
RFC,1,0,LBK,RFC
AaB,0,5,VFF,VFF
OB,0,4,BIF,BIF
FCK,1,0,FCN,FCK
FCM,0,0,AGF,Draw
SIF,0,2,ACH,ACH
